Sample,Raw reads,Trimmed reads,% Trimmed reads ,Mapped reads,% Mapped reads
BLB01ACC,32734875,32199711,98.3651564272049,19004662,59.0212191656006
BLB02ACC,44548525,44235205,99.2966770504748,27559147,62.3013886789945
BLB03ACC,36157124,35656479,98.6153627705566,21623034,60.6426506666572
BLB04ACC,34250960,34045832,99.4011029179912,21099762,61.9745817931546
BLB05ACC,27016057,26738571,98.9728849032263,16540029,61.858313221002
BLB06ACC,46850517,45433468,96.9753823634433,27159262,59.778095742108
BLB07ACC,15623170,15365036,98.3477488883498,9996965,65.0630756738871
BLB08ACC,23655799,23535898,99.4931433091734,15064854,64.007984738887
BLB09ACC,13101162,12782594,97.5683988946935,7835453,61.2978320362831
BLB10ACC,24961063,24655684,98.7765785455531,15777715,63.992201554822
BLB01MCC,27367609,26869820,98.1811016081091,18179071,67.6560952027219
BLB02MCC,16812862,16345766,97.22179364822,10647914,65.141725386256
BLB03MCC,25592711,25387628,99.1986663702802,15394218,60.6366928017064
BLB04MCC,22428259,22213151,99.04090638511,14241594,64.1133443877458
BLB05MCC,22802139,22465755,98.5247699788165,13123962,58.417631635349
BLB06MCC,38287252,36939954,96.481079394259,22753724,61.596514169996
BLB07MCC,19188179,19039160,99.22338122862,12115711,63.6357433836367
BLB08MCC,30158648,29892525,99.1175897540235,19079210,63.826023395481
BLB09MCC,21760536,21620848,99.3580672829015,14205323,65.7019696914756
BLB10MCC,25480255,24766166,97.1974809514269,16102576,65.0184449219956
BLB11MCC,39956649,36359217,90.996662407801,23121499,63.5918507265984
BLB01VMH,15535422,15269064,98.2854794675034,9815078,64.2808098780646
BLB02VMH,22111183,21414984,96.8513715435307,13610566,63.5562744291567
BLB03VMH,29156878,28936004,99.2424634763708,17973597,62.1149934870067
BLB04VMH,22864386,22598492,98.837082264094,14196804,62.8219086477098
BLB05VMH,19973971,19524250,97.7484647394351,11915892,61.0312406366442
BLB06VMH,42367225,36065618,85.126221979372,22902933,63.5035090761511
BLB07VMH,34474341,34039803,98.7395321059219,22026469,64.7079802430114
BLB08VMH,18207338,17638909,96.8780224764323,11424102,64.7664886756885
BLB09VMH,25989324,25835203,99.4069834213464,16563474,64.1120334916664
BLB10VMH,11523057,11129988,96.5888479072871,7656092,68.7879627543174
BLB11VMH,24638802,23835493,96.7396588519198,13711892,57.5272011365571
